"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"149","PER","2020-11-30","11","29","2020","334","2020-11-30","2162","44","Peru","32510462","America","78.495","962530","35923","10.489","35595","0.009","Latin America & Caribbean","-0.245","48.914","32.1","12.793","31.989","1207306","1380179","16.692","6487906280.719","24.992","32.482","0.29","0.204","11.516","11.319","56.098","25.791","9","44.75","0.593","0.875","3","0.423","1.829","1.059","-0.503","0.69","0.132","0.467","","12.151","13.214","0","-0.617","4","0","","395","321","321","0.003","","0","","","","0","26.5","0.625","0.657","0.199","0.638","2.924","64.4","49.2","24.992","76.286","4.124","38.3","111.6","160","94.2","64.3","76.8","436","0.7","45","51.7","6","1","8.089","3.465","3.219","","","","","","","","","","","","","-71","","","","","","","","","","","19.433","96.267","","","","","","1122.971","7.025","","","PER","70","264","87","247"
"169","SLV","2020-11-30","11","29","2020","334","2020-11-30","0","3","El Salvador","6453550","America","31.719","38405","1114","7.017","1081","0.033","Latin America & Caribbean","-0.447","77.526","29.4","7.393","6.421","223747","308358","14.75","426819833.29","309.881","17.236","0.686","0","6.156","10.562","53.14","27.132","8","39.212","0.18","0.36","1","0.1","1.218","0.348","-1.292","0.77","-0.787","0.623","","12.665","10.436","0","-0.375","4","2","","1424","358","358","0.003","","0","","","","0","24.1","0.512","0.198","0.356","0.198","2.493","21.6","44.2","309.881","72.872","3.49","73.9","159.6","130","88.5","63.2","91.1","387","0.7","25.2","42.1","4","1","8.287","1.86","5.736","","","","","","","","","","","","","-74.6","","","","","","","","","","","24.833","249.733","","","","","","173.5","5.162","","","SLV","85","249","121","213"
"177","SVN","2020-11-30","11","29","2020","334","2020-11-30","1117","14","Slovenia","2080908","Europe","977.41","75381","927","6.833","663","0.39","Europe & Central Asia","1.126","162.477","","32.728","2.074","172939","233689","13.906","1523856931.759","102.64","","11.413","0","","38.549","","15.022","10","24.988","0.283","0.557","3","0.005","0.782","0.684","1.203","0.879","1.644","0.115","","19.981","7.981","0","","5","","994","955","841","841","0.001","5.951","0","","","","0","42.4","0.812","0.222","0.287","0.231","3.284","100","67.2","102.64","81.176","2.774","73.7","282","460","99.7","90.8","99.1","2004","0.9","54.9","63.3","0","1","19.607","0.729","4.631","","","","","","","","","","","","","-17.2","","","","","","","","","","","17","110.733","","","","","","446.985","6.105","","","SVN","67","267","89","245"
"27","BRA","2020-11-30","11","29","2020","334","2020-11-30","24468","272","Brazil","211049519","America","214","6314740","172833","12.06","169183","0.021","Latin America & Caribbean","-0.447","29.082","42.5","14.283","209.469","8051645","10639033","18.442","78162572752.95","25.062","41.946","0.343","1.25","30.535","34.843","23.716","21.334","8","45.85","0.515","0.984","2","0.511","1.231","0.294","-0.248","0.803","-0.183","0.309","143.473","4.114","7.215","1","0.763","4","1","935","935","935","935","0.001","","0","","","","0","30.3","0.714","0.541","0.605","0.549","2.611","100","59.7","25.062","75.456","3.271","82.4","185.2","220","92","63.8","86.1","591","0.8","45","67.1","6","1","8.923","5.345","3.221","","","","","","","","","","","","","-33.6","","","","","","","","","","","26.033","86.433","","","","","","825.099","6.717","","","BRA","66","268","80","254"
"85","HTI","2020-11-30","11","29","2020","334","2020-11-30","0","0","Haiti","11263079","America","0.755","9264","232","5.451","232","0","Latin America & Caribbean","-1.909","75.549","","1.656","11.123","244080","306461","","105000000","403.599","23.705","0.369","0","0.371","","19.128","33.242","5","52.767","0","0","0","0","1.274","1.094","-2.209","0.528","-0.695","0.87","","","5.136","0","-0.206","5","","","619","","619","0.002","","0","","","","0","22.2","0.246","0.095","0.47","0.095","1.83","3.1","31.5","403.599","63.29","4.014","48.3","23.6","70","48.7","32.1","30.5","15","0.5","10.6","21.1","11","0","4.949","2.409","6","","","","","","","","","","","","","-26.4","","","","","","","","","","","26.9","150.333","","","","","","20.857","3.085","","","HTI","89","245","125","209"
"1","ABW","2020-11-30","11","29","2020","334","2020-11-30","5","0","Aruba","106310","America","165.554","4838","45","3.829","45","0","Latin America & Caribbean","1.058","","","","0.106","6093","8252","12.522","135642458.101","588.028","","34.762","0","","","","17.802","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","","","","","99.2","","588.028","76.01","","","","","","","","","","","","","","13.553","-2.246","6.377","","","","","","","","","","","","","-39.8","","","","","","","","","","","","","","","","","","425.15","6.055","","","ABW","83","251","242","92"
"2","AFG","2020-11-30","11","29","2020","334","2020-11-30","0","0","Afghanistan","38041757","Asia","6.417","45844","1763","7.475","1695","0.045","South Asia","-1.457","","","1.735","37.172","445283","515559","14.359","119435105.715","56.938","10.792","1.176","0.001","","0.601","8.821","43.09","-1","31.4","0.744","0.676","1","0.015","0.865","-0.516","0.142","0.423","0.139","0.581","","","","0","-0.56","","","","","1329","1329","0.001","","0","","","","0","16.5","0.23","0.769","0.272","0.751","2.292","","32.3","56.938","64.13","3.889","44.8","29.5","50","31.7","25.9","39.2","8","0.5","21","23.6","20","0","2.585","3.616","4.042","","","","","","","","","","","","","-33.4","","","","","","","","","","","19.433","6.033","","","","","","47.428","3.88","","","AFG","74","260","98","236"
"3","AGO","2020-11-30","11","29","2020","334","2020-11-30","16","1","Angola","31825299","Africa","5.892","15103","346","5.849","337","0.027","Sub-Saharan Africa","-1.052","","39.6","5.725","30.81","304406","378459","14.232","-5732491335.28","24.713","25.233","0.427","15.754","","5.002","","46.809","-2","","0.748","0.699","4","0.62","1.508","1.383","-1.173","0.603","-0.541","0.717","","","","0","-0.62","1","0","","","895","895","0.001","","0","","","","0","16.3","0.151","0.787","0.628","0.756","1.294","0","25.2","24.713","60.379","4.413","17.9","14.4","80","66","33.4","39.4","82","0.6","10.9","21.7","16","1","2.216","3.428","3.207","","","","","","","","","","","","","-27.8","","","","","","","","","","","22","32.933","","","","","","11.23","2.504","","","AGO","95","239","175","159"
"4","AIA","2020-11-30","11","29","2020","334","2020-11-30","0","0","Anguilla","14872","America","6.724","4","0","0","0","","","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2","162.633","","","","","","","","","","AIA","","","",""
"5","ALB","2020-11-30","11","29","2020","334","2020-11-30","835","11","Albania","2862427","Europe","342.192","37625","798","6.683","699","0.149","Europe & Central Asia","0.115","77.082","","12.316","2.866","189497","204463","12.622","1204383363.605","104.612","","1.989","1.366","36.255","21.387","19.082","17.673","9","38.4","0.314","0.533","2","0.1","-0.664","0.415","1.265","0.737","2.143","0.655","","","","0","0.209","3","0","","","471","471","0.002","","0","","","","0","32.9","0.43","0.22","0.472","0.097","2.168","23.6","52.9","104.612","78.333","2.863","74.3","128.6","290","97.2","75.4","97.7","314","0.8","35.9","52","1","1","13.744","1.053","4.65","","","","","","","","","","","","","","","","","","","","","","","","19.233","41.767","","","","","","278.4","5.633","","","ALB","70","264","88","246"
